Protein Group,Protein ID,Accession,Significance,Coverage (%),#Peptides,#Unique,PTM,Sample 1 Area,Sample 2 Area,Sample Profile (Ratio),A Area,B Area,Group Profile (Ratio),Avg. Mass,Description
48,154,tr|Q6AYR1|Q6AYR1_RAT,19.98,23,6,6,Oxidation (M),8.46E7,0,1.00:0,8.46E7,0,1.00:0,43096,Protein Tfg OS=Rattus norvegicus GN=Tfg PE=1 SV=1
120,245,Q4AE70|CARM1_RAT,18.98,13,5,5,Carbamidomethylation; Acetylation (Protein N-term); Deamidation (NQ),5.49E7,0,1.00:0,5.49E7,0,1.00:0,70341,Histone-arginine methyltransferase CARM1 OS=Rattus norvegicus GN=Carm1 PE=1 SV=1
72,135,tr|B5DEG8|B5DEG8_RAT,18.01,9,8,8,Carbamidomethylation; Pyro-glu from Q,3.58E7,0,1.00:0,3.58E7,0,1.00:0,118524,LOC685144 protein OS=Rattus norvegicus GN=Sec24c PE=1 SV=1
34,65,tr|A0A0G2JVC2|A0A0G2JVC2_RAT,16.55,12,10,10,Carbamidomethylation; Oxidation (M),5.76E7,5.16E6,1.00:0.09,5.76E7,5.16E6,1.00:0.09,103769,Protein Scyl2 OS=Rattus norvegicus GN=Scyl2 PE=1 SV=1
108,141,O88902|PTN23_RAT,15.65,6,6,6,,3.9E7,0,1.00:0,3.9E7,0,1.00:0,163453,Tyrosine-protein phosphatase non-receptor type 23 (Fragment) OS=Rattus norvegicus GN=Ptpn23 PE=1 SV=2
261,273,Q6P7R8|DHB12_RAT,15.22,13,3,3,Carbamidomethylation,1.89E7,2.12E6,1.00:0.11,1.89E7,2.12E6,1.00:0.11,34841,Very-long-chain 3-oxoacyl-CoA reductase OS=Rattus norvegicus GN=Hsd17b12 PE=2 SV=1
173,285,tr|D3ZU13|D3ZU13_RAT,14.04,2,3,3,,8.38E6,8.13E5,1.00:0.10,8.38E6,8.13E5,1.00:0.10,175704,Protein Eif4g1 OS=Rattus norvegicus GN=Eif4g1 PE=1 SV=1
338,267,P62914|RL11_RAT,12.66,13,2,2,,5.02E7,5.81E6,1.00:0.12,5.02E7,5.81E6,1.00:0.12,20252,60S ribosomal protein L11 OS=Rattus norvegicus GN=Rpl11 PE=1 SV=2
358,425,tr|M0R5V6|M0R5V6_RAT,12.09,16,2,2,Carbamidomethylation,1.39E7,1.23E6,1.00:0.09,1.39E7,1.23E6,1.00:0.09,13389,Protein RGD1562725 OS=Rattus norvegicus GN=RGD1562725 PE=3 SV=1
309,7253,P09034|ASSY_RAT,12.06,4,2,2,,0,5.29E6,0:1.00,0,5.29E6,0:1.00,46496,Argininosuccinate synthase OS=Rattus norvegicus GN=Ass1 PE=1 SV=1
279,355,Q10728|MYPT1_RAT,11.94,2,2,2,,9.84E6,5.62E5,1.00:0.06,9.84E6,5.62E5,1.00:0.06,115283,Protein phosphatase 1 regulatory subunit 12A OS=Rattus norvegicus GN=Ppp1r12a PE=1 SV=2
215,370,P19511|AT5F1_RAT,11.70,8,2,2,,1.2E7,1.55E6,1.00:0.13,1.2E7,1.55E6,1.00:0.13,28869,ATP synthase F(0) complex subunit B1  mitochondrial OS=Rattus norvegicus GN=Atp5f1 PE=1 SV=1
299,210,tr|A0A0G2JXD0|A0A0G2JXD0_RAT,11.26,24,3,3,Carbamidomethylation,5.19E7,1.09E7,1.00:0.21,5.19E7,1.09E7,1.00:0.21,21424,RCG63708 OS=Rattus norvegicus GN=rCG_63708 PE=4 SV=1
320,368,Q562B5|PGAM5_RAT,11.20,7,2,2,,1.87E7,2.16E6,1.00:0.12,1.87E7,2.16E6,1.00:0.12,32060,Serine/threonine-protein phosphatase PGAM5  mitochondrial OS=Rattus norvegicus GN=Pgam5 PE=2 SV=1
51,111,tr|D3ZW15|D3ZW15_RAT,10.77,8,10,10,Carbamidomethylation; Acetylation (Protein N-term); Oxidation (M),3.82E7,8.61E6,1.00:0.23,3.82E7,8.61E6,1.00:0.23,134716,Protein Sec24b OS=Rattus norvegicus GN=Sec24b PE=1 SV=1
252,301,P62282|RS11_RAT,10.58,15,3,3,Pyro-glu from Q,4.39E7,8.31E6,1.00:0.19,4.39E7,8.31E6,1.00:0.19,18431,40S ribosomal protein S11 OS=Rattus norvegicus GN=Rps11 PE=1 SV=3
321,380,Q9JJ54|HNRPD_RAT,8.92,6,2,2,,3.97E7,7.43E6,1.00:0.19,3.97E7,7.43E6,1.00:0.19,38218,Heterogeneous nuclear ribonucleoprotein D0 OS=Rattus norvegicus GN=Hnrnpd PE=1 SV=2
